Timestamp,Gender,Age,Department,Are_you_happy_with_your_department_work_area,Why_did_you_chosen_your_department_work_area,Current_year_you_are_studying_in,Cgpa,Are_you_having_proper_sleep_everyday,How_much_time_are_you_sleeping_everyday,Are_you_getting_good_food_diet_everyday,What_is_your_screen_time,On_what_do_you_spend_your_screen_time_more,From_where_you_are_getting_stress,When_you_are_stressed_more,What_will_you_like_to_do_when_you_are_stressed,How_did_you_felt_during_COVID_19_pandemic_period,concentrate_on_your_work_when_you_are_stressed
25-08-2022 21:14,Male,20,CSE,No,Future scope,3,8.21,Yes,4,No,8,Other  ( Series/Movies ),Thinking about future,During exams,Sharing feelings with someone,Depressed,No
25-08-2022 21:14,Female,20,CSE,Yes,Future scope,2,8.2,No,8,No,5,Studies,Studies/work,During exams,Listen's Music,Boring,No
25-08-2022 21:15,Male,20,CSE,Yes,Future scope,3,9,Yes,10,Yes,5,Social Media,Thinking about future,About Money,Doing any physical activity,Boring,No
25-08-2022 21:15,Male,20,IT,Yes,Interested,2,6.09,Yes,5,Yes,3,Social Media,Family,During exams,Listen's Music,Boring,Yes
25-08-2022 21:16,Female,20,CSE,No,Future scope,3,8.48,No,5,No,4,Other  ( Series/Movies ),Thinking about future,During exams,Listen's Music,Boring,No
25-08-2022 21:16,Male,20,EEE,Yes,Future scope,4,7.9,Yes,8,No,5,Video games,Health,About Food,Being calm or Being alone,Happy,Yes
25-08-2022 21:17,Female,20,CSE,Yes,Interested,2,9.16,Yes,4,No,4,Studies,Health,About Food,Listening music n being alone ,Boring,Yes
25-08-2022 21:17,Male,20,CSE,Yes,Interested,2,7.04,Yes,4,Yes,5,Other  ( Series/Movies ),Thinking about future,About Love,Listen's Music,Boring,Yes
25-08-2022 21:17,Female,20,CSE,No,Interested,2,9.25,No,5,No,8,Studies,Studies/work,About Faculty,Sharing feelings with someone,Depressed,No
25-08-2022 21:17,Male,20,CSE ,Yes,Interested,3,7.01,No,8,Yes,5,Social Media,All ,About Money,Sharing feelings with someone,Boring,No
25-08-2022 21:18,Female,20,CSE,Yes,Future scope,3,7,Yes,7,No,4,Social Media,Thinking about future,During exams,Listen's Music,Happy,Yes
25-08-2022 21:18,Male,20,CSE,No,Due to Family pressure,2,8,No,4,No,8,Social Media,Thinking about future,About Love,Doing any physical activity,Depressed,No
25-08-2022 21:18,Male,20,CSE,Yes,Future scope,3,8.2,Yes,7,Yes,8,Studies,Thinking about future,During exams,Listen's Music,Boring,No
25-08-2022 21:18,Male,20,CSE,Yes,Interested,2,8.75,Yes,9,No,5,Social Media,Thinking about future,During exams,Listen's Music,Boring,No
25-08-2022 21:18,Female,20,CSE,Yes,Future scope,3,8.4,Yes,5,Yes,8,Social Media,Thinking about future,During exams,Sharing feelings with someone,"Stressed, Boring",No
25-08-2022 21:19,Female,20,CSE,No,Future scope,2,9,Yes,5,No,2,Studies,Thinking about future,About Money,Listen's Music,Boring,Yes
25-08-2022 21:19,Female,20,CSE,Yes,Future scope,2,8.7,No,7,No,3,Other  ( Series/Movies ),Studies/work,About Money,Travelling,Boring,No
25-08-2022 21:20,Female,20,CSE,Yes,Interested,3,8.05,Yes,7,Yes,2,Other  ( Series/Movies ),Family,About Faculty,Listen's Music,Stressed,Yes
25-08-2022 21:20,Female,16,CSE,No,Due to Family pressure,2,9,No,8,No,4,Social Media,Studies/work,About Faculty,Travelling,Happy,No
25-08-2022 21:20,Female,22,CSE,Yes,Interested,4,8.3,Yes,10,No,8,Other  ( Series/Movies ),Thinking about future,About Money,Being calm or Being alone,Boring,No
25-08-2022 21:21,Male,20,CSE,Yes,Future scope,2,7.82,Yes,6,No,2,Studies,Studies/work,During exams,Travelling,Boring,No
25-08-2022 21:21,Male,20,CSE,Yes,Interested,2,8,Yes,7,No,2,Other  ( Series/Movies ),Studies/work,During exams,Listen's Music,Boring,Yes
25-08-2022 21:21,Male,20,CSE,Yes,Interested,3,9,No,8,No,3,Social Media,Family,About Faculty,Being calm or Being alone,"Happy, Boring",Yes
25-08-2022 21:21,Female,20,CSE,Yes,Future scope,2,9.1,Yes,8,No,6,Studies,Health,About Money,Being calm or Being alone,"Depressed, Boring",No
25-08-2022 21:21,Female,20,CSE,Yes,Interested,2,8.5,No,8,No,6,Studies,Studies/work,About Money,Sharing feelings with someone,Stressed,No
25-08-2022 21:21,Male,20,CSE,Yes,All are choosing so I also chosen,2,9,Yes,8,No,4,Other  ( Series/Movies ),Studies/work,About Food,Being calm or Being alone,Happy,No
25-08-2022 21:22,Male,20,CSE,Yes,Interested,3,8.44,Yes,8,Yes,10,Video games,Studies/work,During exams,Sharing feelings with someone,Stressed,No
25-08-2022 21:22,Male,20,CSE,Yes,Future scope,2,9.01,No,8,No,3,Studies,Studies/work,About Faculty,Travelling,"Depressed, Happy, Boring",No
25-08-2022 21:22,Female,20,CSE,Yes,Future scope,2,9.11,No,8,No,6,Studies,Studies/work,During exams,Listen's Music,Boring,No
25-08-2022 21:22,Female,20,CSE,Yes,Future scope,3,8.62,Yes,8,No,4,Social Media,Thinking about future,During exams,Listen's Music,Boring,No
25-08-2022 21:23,Female,20,BIOTECH,Yes,Interested,3,7.55,No,8,No,6,Other  ( Series/Movies ),Thinking about future,About Food,Sharing feelings with someone,Boring,No
25-08-2022 21:23,Male,20,CSE,No,All are choosing so I also chosen,2,7,No,8,No,8,Social Media,Studies/work,About Money,Sharing feelings with someone,Boring,No
25-08-2022 21:23,Male,20,CSE,Yes,Due to Family pressure,3,8.02,No,8,No,10,Studies,Studies/work,During exams,Listen's Music,Happy,No
25-08-2022 21:23,Female,20,CSE,Yes,Future scope,3,0,No,8,Yes,2,Social Media,Thinking about future,No sleep,Being calm or Being alone,Boring,No
25-08-2022 21:23,Female,20,CSE,Yes,Interested,3,7.7,Yes,8,Yes,3,Studies,Health,No sleep,Listen's Music,Boring,Yes
25-08-2022 21:23,Male,20,CSE,Yes,Future scope,2,8,Yes,8,No,5,Social Media,Thinking about future,During exams,Listen's Music,Boring,No
25-08-2022 21:23,Male,20,CSE,No,Interested,3,7,No,8,No,4,Studies,Studies/work,About Faculty,Listen's Music,Happy,No
25-08-2022 21:24,Female,20,CSE,Yes,Due to Family pressure,2,8.87,No,8,No,2,Studies,Thinking about future,About Money,Meditation,Boring,No
25-08-2022 21:24,Male,20,CSE ,Yes,Future scope,3,7.93,Yes,8,Yes,5,Social Media,Studies/work,During exams,Listen's Music,Boring,No
25-08-2022 21:24,Female,20,CSE,Yes,Future scope,2,8.39,Yes,8,No,4,Social Media,Health,About Food,Listen's Music,Happy,No
25-08-2022 21:24,Female,20,CSE,Yes,Future scope,3,7.2,Yes,8,Yes,5,Other  ( Series/Movies ),Thinking about future,During exams,Listen's Music,Boring,No
